"Location","customer_count","avg_annual_spend","promo_dependency_pct","avg_clv","avg_rating"
"Pennsylvania",74,1319.99,44.6,4275.21,3.78
"Illinois",92,1269.46,40.2,4016.80,3.64
"Hawaii",65,1266.65,49.2,4161.01,3.68
"Alaska",72,1262.61,40.3,4017.93,3.80
"Tennessee",77,1258.04,36.4,3962.92,3.78
"Massachusetts",72,1252.32,48.6,3744.67,3.72
"Louisiana",84,1244.80,41.7,3621.93,3.78
"Georgia",79,1211.78,40.5,3674.57,3.62
"Indiana",79,1189.56,57.0,3600.53,3.81
"North Carolina",78,1176.92,44.9,3688.06,3.81
"New York",87,1159.38,41.4,3538.34,3.76
"Oklahoma",75,1151.83,48.0,3373.00,3.59
"Nevada",87,1148.49,47.1,3598.67,3.72
"Oregon",74,1132.68,51.4,3562.26,3.75
"Alabama",89,1120.85,40.4,3612.11,3.78
