Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Rating_Imputed,Promo Used,Subscription Used,Freq_per_Year,Est_Annual_Spend,CLV_Score,Value_Tier,Promo_Dependent,Satisfaction_Flag,Age_Group,Loyalty_Score_A,Loyal_A,Loyalty_Score_B,Loyal_B,Loyal_Both,Segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,1,Yes,14,Venmo,Fortnightly,0,1,1,26,1378,3731.6931771188456,High,1,Neutral,46-55,0.3022008803521409,0,0.16330373338979426,0,0,Promo Reliant
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,1,Yes,2,Cash,Fortnightly,0,1,1,26,1664,1828.0908483437347,High,1,Neutral,18-25,0.20424169667867145,0,0.11646710143949118,0,0,Promo Reliant
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,1,Yes,23,Credit Card,Weekly,0,1,1,52,3796,12063.892340000803,Premium,1,Neutral,46-55,0.5795918367346939,1,0.3683109135289552,0,0,Promo Reliant
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,1,Yes,49,Paypal,Weekly,0,1,1,52,4680,18308.267665403724,Premium,1,Neutral,18-25,0.7918367346938776,1,0.5699488369830832,1,1,Promo Reliant
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,1,Yes,31,Paypal,Annually,0,1,1,1,49,169.8210592371866,Low,1,Detractor,36-45,0.2448979591836735,0,0.027666682879031648,0,0,At-Risk Loyalists
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,1,Yes,14,Venmo,Weekly,0,1,1,52,1040,2816.3722091462982,High,1,Detractor,46-55,0.5061224489795919,0,0.11678298383759614,0,0,Promo Reliant
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,1,Yes,49,Cash,Quarterly,0,1,1,4,340,1330.0878218455696,Mid,1,Neutral,56+,0.4153661464585835,0,0.11621413026497067,0,0,At-Risk Loyalists
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,1,Yes,19,Credit Card,Weekly,0,1,1,52,1768,5296.454659643456,Premium,1,Neutral,26-35,0.5469387755102041,0,0.213803453913972,0,0,Promo Reliant
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,1,Yes,8,Venmo,Annually,0,1,1,1,97,213.1307840016133,Low,1,Detractor,26-35,0.05714285714285714,0,0.016732284453476874,0,0,Bargain Hunters
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,1,Yes,4,Cash,Quarterly,0,1,1,4,124,199.57030114182842,Low,1,Promoter,56+,0.04801920768307323,0,0.2803986394819555,0,0,Bargain Hunters
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,1,Yes,26,Bank Transfer,Bi-Weekly,0,1,1,26,884,2913.519789547827,High,1,Promoter,46-55,0.4001600640256102,0,0.26317322333213206,0,0,Promo Reliant
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,1,Yes,10,Bank Transfer,Fortnightly,0,1,1,26,1768,4239.47884230752,High,1,Promoter,26-35,0.2695478191276511,0,0.3917973986635624,0,0,Promo Reliant
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,1,Yes,37,Venmo,Fortnightly,0,1,1,26,1872,6809.561291007794,Premium,1,Promoter,56+,0.48995598239295723,0,0.4070322476192074,0,0,Promo Reliant
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,1,Yes,31,Paypal,Weekly,0,1,1,52,2652,9191.131614224874,Premium,1,Promoter,56+,0.6448979591836735,1,0.4896289046027368,1,1,Promo Reliant
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,1,Yes,34,Debit Card,Weekly,0,1,1,52,2756,9798.539257464823,Premium,1,Promoter,56+,0.6693877551020408,1,0.5045736899710842,1,1,Promo Reliant
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,1,Yes,8,Paypal,Monthly,0,1,1,12,972,2135.702289170805,High,1,Detractor,56+,0.14341736694677873,0,0.08803563800825578,0,0,Promo Reliant
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,1,Yes,44,Debit Card,Bi-Weekly,0,1,1,26,936,3563.036090425019,High,1,Promoter,18-25,0.5470988395358143,1,0.27915405896679013,0,0,Promo Reliant
18,53,Male,Dress,Clothing,38,Mississippi,Xl,Lavender,Winter,4.7,Yes,2-Day Shipping,1,Yes,36,Venmo,Quarterly,0,1,1,4,152,548.8595227219221,Mid,1,Promoter,46-55,0.3092436974789916,0,0.27699262493157484,0,0,At-Risk Loyalists
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,1,Yes,17,Cash,Weekly,0,1,1,52,2496,7214.367907708826,Premium,1,Promoter,46-55,0.5306122448979592,0,0.42899219473151917,1,0,Promo Reliant
